target,target
ខ្ញុំ​នឹង​ចូល​ទៅ​ក្នុង​ភាព​ជាប់​គាំង​ខាង​វិញ្ញាណ វា​នឹង​ផ្ទុះ​នូវ​អត្មា​របស់​ខ្ញុំ!ឥឡូវ​ខ្ញុំ​ដឹង​ហើយ ខ្ញុំ​មិន​ពូកែ​ទាំង​អស់​នោះ​ទេ។ហើយខ្ញុំយល់ព្រមជាមួយវា។,neutral
ព្យុះឆ្កួត។គ្មានទន្លេសម្រាប់យើងយប់នេះទេ។,negative
ជីតាដែលបានស្លាប់របស់ខ្ញុំយកចិត្តទុកដាក់ចំពោះខ្ញុំច្រើនជាងអ្នកទៅទៀត។,negative
"... ត្រូវ​ការ​ការ​ព្យាបាល​ការ​លក់​រាយ, អាក្រក់។AHHH..... ផ្តល់លុយកាក់",negative
ហៀបនឹងចូលគេង,neutral
ខ្ជិលធ្វើអាហារពេលព្រឹក!!,negative
ឡូយណាស់,positive
សួស្តីមនុស្សទាំងឡាយ កុំស្អប់ការនិយាយដើមគេ ហាហា ខ្ញុំគ្រាន់តែអង្គុយញ៉ាំផ្លែប៉ោម និងមើលសំបុត្រមរណៈ (រឿងខ្លះ),neutral
ហ៊ឺ ការសរសេរកូដ ScarePoint មួយផ្សេងទៀតថ្ងៃអាទិត្យ,neutral
រកមើលអ្នកដែលខ្ញុំបានរកឃើញសម្រាប់តែអ្នក ---> http://twitter.com/DJT2009,positive
គ្មាន AC កង្ហារមិនបង្វិលផ្លូវរបស់យើងទេ ... យើងកំពុងបែកញើសវាចេញនៅថ្ងៃក្តៅ,negative
ស្មាន​វា​អាស្រ័យ​លើ​ប្រសិន​បើ​អ្នក​ចង់​នៅ​ក្នុង​គណៈ​កម្មាធិការ​,neutral
ងាកទៅញ៉ាំ Mickey Ds ALONE ។,neutral
មានកូនមាន់ក្លែងក្លាយមួយក្បាលមើលមកខ្ញុំ សុំទោសដែលខ្ញុំមិនទៅ camden ហើយខ្ញុំចូលចិត្ត pop-punk និង jimmy eat world,neutral
តើគាត់បានសុំលេខសម្គាល់ Twitter របស់អ្នកទេ?សញ្ញាព្រះអាទិត្យរបស់អ្នក?,neutral
តើអ្នកទៅណា!,neutral
មើលរឿង Body of Lies... ភាពយន្តល្អ។,positive
រីករាយ​ថ្ងៃ​បុណ្យ​អ្នក​ម្ដាយ​ xoxo,positive
ដូច្នេះខ្ញុំពិតជាត្រូវដាក់កុំព្យូទ័រយួរដៃចុះ ហើយចាប់ផ្តើមត្រៀមខ្លួនសម្រាប់ shindig... ប៉ុន្តែខ្ញុំបានខកខាន TwitterLoves របស់ខ្ញុំពេញមួយថ្ងៃ។,neutral
ខ្ញុំសុំទោសយ៉ាងហោចណាស់វាជាថ្ងៃសុក្រ?,negative
មានអារម្មណ៍សោកស្ដាយរាល់ពេលដែលខ្ញុំបោះពុម្ព ខ្ញុំប្រើក្រដាសថ្មី 200 សន្លឹក,negative
4n?ma rog មិនដែលលឺទេ esti beat acum?អ្នក tweet ច្រើនពេក,negative
ខ្ញុំតែងតែភ្លេចអ្វីមួយនៅពេលខ្ញុំធ្វើដំណើរ។ខ្ញុំនៅព្រលានយន្តហោះ Newark ។,neutral
គួរតែចេញពីឡានហើយដើរទៅផ្ទះ!ខ្ញុំ​ប្រហែល​ជា​ត្រូវ​ការ​អ្នក​ណា​ម្នាក់​ជួយ​សង្គ្រោះ​ខ្ញុំ​ដោយ​ចាក់​សាំង!ពន្លឺភ្លឹបភ្លែតៗ,neutral
ខ្ញុំគ្រាន់តែធ្វើបច្ចុប្បន្នភាពនេះ ដើម្បីឱ្យទូរសព្ទរបស់ brett បន្លឺឡើង ប៉ុន្តែពិតជា.. កំពុងសម្លឹងមើលវត្ថុអាពាហ៍ពិពាហ៍។ម្តងទៀតសម្រាប់ប្រាំខែបន្ទាប់។,neutral
សួស្តី។ខ្ញុំយល់ព្រម!កូនតូចៗគួររត់លេងសប្បាយ កុំស្រក់ទឹកភ្នែក,positive
សង្ឃឹមថាអ្នកនឹងរីករាយក្នុងក្លឹប,positive
ខ្ញុំនឹកទូរស័ព្ទចាស់របស់ខ្ញុំ វាដំណើរការល្អរហូតដល់ខ្ញុំទម្លាក់វាខ្ញុំចង់បានទូរស័ព្ទថ្មីសម្រាប់ខួបកំណើតរបស់ខ្ញុំ ...,neutral
គិតថា SG គឺអស្ចារ្យណាស់។,positive
ខ្ញុំពិតជាសុំទោសដែលខ្ញុំដឹងថា Wallah តើអ្នកមានអារម្មណ៍យ៉ាងណា ជីវិតនេះគឺ shittttttttt,negative
មិនសប្បាយចិត្ត,negative
កំពុងទស្សនាការសម្តែងសូរស័ព្ទ!& នៅក្នុងអារម្មណ៍សម្រាប់វគ្គ 'មិត្ត' ដ៏ល្អ!ខ្ញុំនឹកការបង្ហាញនោះ។,neutral
ខ្ញុំនឹងយោលពីមួយទៅមួយទៀត។,neutral
ខ្ញុំហត់ខ្លាំងណាស់... និងគេងមិនលក់។,negative
អរគុណ Ennio,positive
អ្នកគួរតែមកទទួលខ្ញុំ ហើយនាំខ្ញុំទៅផ្ទះ kelslaws ជាមួយអ្នក។,neutral
អ្នក​ហាក់​បី​ដូច​ជា​ល្អ អ្នក​មាន​ចិត្ត​ទូលាយ ហើយ​អ្នក​ដឹង​រឿង​របស់​អ្នក។,positive
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral
ជិតបានកូនឆ្មាមួយហើយកាលពីម្សិលមិញ... ប៉ុន្តែវាមិនដំណើរការទេ។,neutral
"ការពិតត្រូវតែពិនិត្យមើល។ សាលារៀនជាង។ដល់ពេលជប់លៀងមិនយប់ទេ ខ្ញុំចូលគេង។យប់, យប់។",neutral
Caladesi គឺពិតជាវិធីសន្តិភាពដ៏ល្អមួយដើម្បីចំណាយពេលថ្ងៃអាទិត្យ!ខ្ញុំ​ទទួល​បាន​ទឹក​ត្នោត​មួយ​!,positive
ខ្ញុំនៅតែមិនដឹងថាយើងនឹងធ្វើអ្វី,neutral
_Xo ហ៊ានវាអញ្ចឹងវាមិនប្រាកដទេ???តើអ្នកមិនអីទេ?,neutral
ការផ្លាស់ប្តូរផែនការ។ខ្ញុំស្នាក់នៅ Brandon ។គ្មានផ្លែល្ហុងសម្រាប់ខ្ញុំទេ។,neutral
ភ្លៀងអើយភ្លៀងអើយ!ឥឡូវនេះខ្ញុំត្រូវផ្លាស់ប្តូរផែនការរបស់ខ្ញុំសម្រាប់យប់នេះ។,negative
នៅ starbucks ដោយក្តីស្រឡាញ់របស់ខ្ញុំ។សាលាអេហ្វ។ខ្ញុំក៏មានការងារនៅពេលក្រោយដែរ។,neutral
ខ្ញុំ​បាន​ត្រឹម​តែ​យំ​ពេល​មើល holyoaks.. ខ្ញុំ​ត្រូវ​ការ​ជីវិត!lol,negative
សួស្តីអ្នកទាំងអស់គ្នា ទើបតែជាសះស្បើយពីកម្មវិធីជប់លៀង ទន្ទឹងរង់ចាំថ្ងៃសម្រាកធនាគារដ៏រំភើបជុំវិញហាង diy... life can't get much better.surely,positive
Terminator Salvation... ដោយខ្លួនខ្ញុំផ្ទាល់។,neutral
សម្រាប់ ... ការបាត់បង់ ...មុខមាត់... គាត់មិនមែនអ្នកទេ។តើអ្នកកំពុងធ្វើអ្វីនៅលើ wknd?ខ្ញុំចង់ឃើញអ្នក!,negative
ហេតុអ្វីបានជាខ្ញុំត្រូវបញ្ចូលព័ត៌មានលម្អិតនៃការចុះឈ្មោះរបស់ខ្ញុំរាល់ពេលដែលខ្ញុំធ្វើបច្ចុប្បន្នភាព?,neutral
នៅ​ថ្ងៃ​ច័ន្ទ​នេះ ខ្ញុំ​នឹង​មិន​អាច​នៅ​ជាមួយ​អ្នក​!ខ្ញុំស្រលាញ់អ្នក។,positive
"គួរឲ្យស្រលាញ់ណាស់..ខ្ញុំជាអ្នកគាំទ្ររឿង Dream A Little Dream, This Kiss និងរូបរាងដូចនៅក្នុង Dawson's Creek ធ្វើឱ្យមានការភ្ញាក់ផ្អើលកាន់តែច្រើន!",positive
TGIF ត្រឹមត្រូវ... ខ្ញុំគិតថាខ្ញុំបានបាក់ម្រាមជើងរបស់ខ្ញុំកាលពីយប់មិញ - ដោយជើងអាក្រក់របស់ខ្ញុំ។,neutral
អូហេ ជិតដល់ពេលហើយ តើអ្នកមានគម្រោងទេ?ខ្ញុំមានពិធីជប់លៀងនៅថ្ងៃសៅរ៍ x,neutral
_LaMont yr មើលទៅក្មេងណាស់។,positive
៖ ហ៊ឺម តំណខុស មិនអើពើនឹងធ្វីតរបស់ខ្ញុំ,negative
AT&T បានបោកប្រាស់ប្រព័ន្ធ ហើយឥឡូវនេះខ្ញុំមិនមានសំបុត្រ Green Day **** អ្នក AT&T!,negative
Tracy និង Berwick បំបែកបេះដូងដែលឈឺចាប់របស់ខ្ញុំ ពួកគេបានបំបែកផ្លូវនៅតាមសាលធំ។,negative
បាទ ខ្ញុំចង់អោយពួកគេលេង Dublin ទាំងអស់គ្នា,positive
ខ្ញុំជាស្ត្រី និងស្ត្រីមិនរើកៅអី។ពួកគេដឹកនាំកន្លែងដែលកៅអីទៅ,neutral
យាយសម្រាប់ Block Party!អ្នកគឺជា BOMB!Blockheads <3 ដេវ!អរគុណសម្រាប់ការគាំទ្រ NKOTB!,positive
ថ្ងៃទី 26 ខែកុម្ភៈ,neutral
ស្មានថាម៉េច?ម៉ាក់បានចិញ្ចឹមកូនឆ្មាមួយថ្ងៃនេះ (11 ខែ) ឈ្មោះរបស់គាត់គឺ Corky,neutral
រីករាយថ្ងៃកំណើត Snickers!!!!?ខ្ញុំសង្ឃឹមថាអ្នកមានថ្ងៃល្អបំផុត!តោះដើរទិញឥវ៉ាន់!!!,positive
សូមអរគុណ!ខ្ញុំកំពុងធ្វើការលើ 's,positive
lol បុរសខ្ញុំទទួលបាន 2 1/2 ម៉ោង iont ពីរបៀបដែលខ្ញុំនឹងធ្វើវាជាមួយនឹងមី ramen និង t.v.ពេលវេលា,neutral
ថ្ងៃនេះមិនមានអារម្មណ៍ល្អទេ។,negative
http://twitpic.com/4wp8s - ត្រចៀកខ្ញុំឈឺ ហើយនេះជាថ្នាំរបស់ខ្ញុំ។ស្ករកៅស៊ូ,negative
_berland LMAO ខ្ញុំដឹងថាខ្ញុំដឹង,neutral
Gnight shar <(``<)Vega(>``)>,neutral
ខោទ្រនាប់ក្នុងអាវទ្រនាប់របស់ខ្ញុំកំពុងលូតចេញ ហើយលូកចូលក្លៀក,negative
រីករាយទិវាអ្នកម្តាយ!!!,positive
បាទ ខ្ញុំ,neutral
ខ្ញុំមិនអាចហៅ Mitch បានទេ!ខ្ញុំមកពីស៊ុយអែត!,neutral
រីករាយថ្ងៃសង្គ្រាមផ្កាយ!សូមឱ្យអ្នកទីបួននៅជាមួយអ្នក,positive
រំភើប​ចិត្ត​ណាស់​ដែល​បាន​ញ៉ាំ​ឪឡឹក​ដែល​ខ្ញុំ​បាន​ទិញ​កាល​ពី​ថ្ងៃ​មុន ហើយ​វា​មិន​ផ្អែម​ទេ។,neutral
ខ្ញុំទើបតែមើល Marley & Me... ខ្ញុំយំខ្លាំងណាស់!,negative
យកថ្នាំសំលាប់មេរោគទៅសាលាដើម្បីសម្អាតដៃ នៅពេលដែលអ្នកមិនអាចចេញទៅក្រៅបាន។,neutral
ខ្ញុំ​ចេញ​ពី​ការងារ​ឥឡូវ​នេះ។ព្យាយាមសម្រេចចិត្តថាតើខ្ញុំត្រលប់មកវិញនៅរសៀលថ្ងៃអាទិត្យ ឬថ្ងៃច័ន្ទម៉ោង 4 ព្រឹកដើម្បីបំពេញតាមកាលកំណត់ពេលថ្ងៃត្រង់ (ម៉ោងនៅចក្រភពអង់គ្លេស)។,neutral
ហាហា..ខ្ញុំចេញពីថ្នាក់នៅម៉ោង 10:50.. ខ្ញុំសង្ឃឹមថាខ្ញុំធ្វើវាបាន។,positive
អូ ពន្លឺថ្ងៃ!ពន្លឺថ្ងៃ!ហើយវានឹងបាត់ទៅវិញនៅពេលខ្ញុំចាកចេញពីការងារ ហើយជំនួសដោយភ្លៀង។/ ខ្យល់,neutral
ហៅតាម Skype ជាមួយ Billie ប៉ុន្តែ webcam របស់ខ្ញុំមិនដំណើរការទេ។,neutral
ទើបតែមានពេលសិក្សាដ៏អស្ចារ្យ អមដោយអាហារជប៉ុនដ៏ឈ្ងុយឆ្ងាញ់ជាមួយ Arty!ឥឡូវនេះកំពុងព្យាយាមត្រលប់ទៅក្នុងអារម្មណ៍សិក្សាវិញ។,positive
FML មិនមានឡានកំពុងហាមឃាត់ការស្វែងរកការងារ,negative
lol ចាប់តាំងពីខ្ញុំទទួលបាន twitter មួយរយៈមុន វាហាក់បីដូចជាផ្ទុកមនុស្សច្រើនក្នុងការបង្កើតគណនីមួយ។,neutral
ចង់ឃើញ David ធ្វើម្ហូប!!,positive
បាទខ្ញុំ ២,neutral
រៀន តាត ផ្លូវ ទេសភាព ឌីន គ្រោង ទៅ ទីក្រុង ប៉ុន្តែ ដូចម្ដេច ត្រូវ បាន ហ្វូង នៅ ទីនោះ?,neutral
ខ្ញុំ​មិន​ចង់​ធ្វើ​អ្វី​ជាក់លាក់​ទេ ខ្ញុំ​គ្រាន់​តែ​ចង់​ឃើញ​អ្នក​និង​កូន​ឆ្កែ!,neutral
បាទ ខ្ញុំត្រូវការលេខក្រឡាដែលគួរឱ្យខ្លាចរបស់គាត់ ive បានព្យាយាមផ្ទះរបស់គាត់ជាច្រើនខែហើយគាត់រវល់ពេក។ខ្ញុំនឹក braddddddddd,negative
ឈុតខ្លីៗរបស់ Toy Story 3 បានចាក់បញ្ចាំងជាលើកដំបូងជាមួយ Up។ខ្ញុំត្រូវការកុំព្យូទ័ររបស់ខ្ញុំមកវិញ។,neutral
uhh នៅលើទូរស័ព្ទជាមួយ HP!,neutral
"And- ធ្វើដោយដៃដោយ Dan & Jenn -sock blockers ... ធ្វើពីឈើកម្រនិងអសកម្ម ... ​​ដែលមួយត្រូវបានគេហៅថា ""បេះដូងពណ៌ស្វាយ""",neutral
អីយ៉ា បំបែក ២០០!,positive
baha សោកស្តាយខ្ញុំមិនមែនទេ។,negative
ខ្ញុំតែងតែមានរបស់ទាំងនោះសម្រាប់គណបក្ស Champions League របស់ខ្ញុំ ពិតជាអស្ចារ្យណាស់។,positive
"មែនហើយមិនមែនទាំងអស់ទេ។ចូរ​នៅ​ឲ្យ​ឆ្ងាយ​ពី​ប្រភេទ​ទាំង​នោះ ហើយ​នៅ​ជុំវិញ​ខ្លួន​អ្នក​ជាមួយ​នឹង​អ្នក​ដែល​មិន​មាន។រីករាយទិវាអ្នកម្តាយចំពោះអ្នកម្តាយរបស់អ្នក, treiz!",positive
_ អាឌែល គេមិនទាន់ឆ្លើយតបទេ.. ចាំរហូតដល់គេបញ្ជាក់.. ក្នុងករណីមាននរណាម្នាក់បានបកប្រែវារួចហើយ..,neutral
អាក្រក់hubby បានទទួលការវះកាត់ជង្គង់ ប៉ុន្តែវាបានជួយគាត់នៅទីបញ្ចប់។អនុញ្ញាតឱ្យយើងដឹងពីលទ្ធផល។យើងនឹងរក្សាគាត់នៅក្នុងការអធិស្ឋានរបស់យើង។,negative
ប្រហែលជាត្រូវត្រលប់មកវិញលឿនជាងការរំពឹងទុក។លាហើយតំបន់ឆ្នេរសមុទ្រ,neutral
Playin City of Villains សូមជូនពរសម្លាញ់របស់ខ្ញុំបានលេងជាមួយខ្ញុំ.....,positive
បាទ - បីយ៉ាង៖ កាត់សក់ល្អ សមត្ថភាពក្នុងការស្តាប់ និងតម្លៃនៃការមិនយកចិត្តទុកដាក់ខ្លាំងពេក,positive
Riley លួចចូល twitter របស់ខ្ញុំ!ហាហា :],neutral
Big Sad Face Bing មិនដំណើរការលើ iPhone ទេ។វាគ្រាន់តែនាំអ្នកទៅកាន់ការស្វែងរកផ្ទាល់តាមទូរស័ព្ទធម្មតា។,neutral
ខ្ញុំចូលចិត្តវា។តើអ្នកបានកត់ត្រាវាដោយខ្លួនឯងទេ?បើដូច្នេះមែន អ្នកមានសំឡេងធូរស្រាល។,positive
man im so sad school is end but then again high school ប្រហែលល្អជាង :O,neutral
មនុស្សម្នាគិតថាវាគួរឱ្យអស់សំណើចនៅពេលដែលខ្ញុំប្រាប់ពួកគេពីរឿងនោះ ហើយបន្ទាប់មកពួកគេបានឃើញអាវដែលខ្ញុំពាក់នៅយប់នេះ។សើចពេញមួយយប់។,positive
អ្នកគឺល្អបំផុត,positive
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral
លំហាត់ប្រាណជិតៗប្រចាំថ្ងៃរបស់ខ្ញុំកំពុងចាប់ផ្តើមបង្ហាញលទ្ធផលហើយ។,neutral
សូមស្វាគមន៍!,positive
បុកប៉ិច ធ្វើម្ហូបចុងក្រោយជាមួយមិត្តរួមផ្ទះ..,neutral
: អូនទៅផ្ទះហើយ ខ្ញុំត្រូវទៅធ្វើការ,neutral
បានបោះឆ្នោតឱ្យ CMT.com,neutral
ទើបតែមកដល់ផ្ទះពីពិធីជប់លៀងដ៏ស្រស់ស្អាតគ្រាន់តែមិនទាន់ហត់,positive
ឥឡូវនេះខ្ញុំមានការ sunburn,negative
ខ្ញុំមានការងារ នេះជាថ្ងៃល្អ មិនអាចប្រសើរជាងនេះបានទេ។,positive
ខ្ញុំសង្ឃឹមថាខ្ញុំអាចទៅ #BEA នៅចុងសប្តាហ៍នេះ។,positive
ខ្ញុំ <3 Rupert Grint......& ក្មេងប្រុសម្នាក់នេះ ខ្ញុំបានទទួលស្គាល់ថាខ្ញុំចូលចិត្តគាត់ ប៉ុន្តែខ្ញុំប្រាកដណាស់ថាគាត់មានអារម្មណ៍ដូចគ្នា ដូច្នេះវាមិនសមនឹងប្រាប់គាត់ទេ។,neutral
ស្រឡាញ់សៀវភៅរបស់អ្នក។,positive
មិនអីទេ គ្រូពេទ្យភ្នែកម្នាក់នេះ យកជារៀងរហូត ហើយខ្ញុំកំពុងអង្គុយក្នុងបន្ទប់ត្រជាក់ដោយខ្លួនឯង... ស្អី?ញាក់សាច់!,negative
ខ្ញុំកំពុងយឺតយ៉ាវនៅលើធ្វីតរបស់ខ្ញុំ..ព្រោះខ្ញុំបាត់ទូរស័ព្ទ,negative
អរគុណទូរស័ព្ទរបស់អ្នកសម្រាប់ខ្ញុំ។,positive
ហេតុអ្វីបានជាពួកគេថតរូបជាមួយសត្វ?!វាគួរឱ្យអស់សំណើចណាស់។,positive
TweetDeck ធ្វើ​សកម្មភាព​ចម្លែក​មែន!ហ៊ឹម........ ប្រហែលជាដំឡើងឡើងវិញ។ធ្វើបច្ចុប្បន្នភាពនៅលើជើងមេឃ?ឬវាគ្រាន់តែជាការលេចធ្លាយអង្គចងចាំ Adobe ផ្សេងទៀត។,neutral
សំបុត្រមានត្រឹមតែ 91 សន្លឹក... ប៉ុន្តែខ្ញុំចង់ទៅណាស់,positive
រីករាយថ្ងៃបុណ្យម្ដាយ,positive
ថ្ងៃនេះក៏នឹងក្តៅនៅទីនេះដែរ។ថ្ងៃនេះគឺជាថ្ងៃចុងក្រោយរបស់ Ryan នៃ Pre-k ។ខ្ញុំ​មិន​អាច​ជឿ​វា​!ខ្ញុំបានក្លាយជា SAHM តាំងពីខ្ញុំមានគាត់មក!,negative
សុបិន្ដចុងសប្តាហ៍... ភ្ញាក់ឡើង!,neutral
អូ **** ខ្ញុំ។ខ្ញុំទើបតែត្រលប់មកពីផ្សារទំនើប Doom ដើម្បីដឹងថាខ្ញុំគ្មានអ្វីផឹកនៅទីនេះទេ។,negative
បាទ ប៉ុន្តែអ្នកខកខានពេលគេង,neutral
D-group Saturday's ជាមួយនឹងបាល់ទាត់បន្តិច សម្រាកមួយម៉ោង បាល់ទាត់ 3 ម៉ោង បាល់បោះនៅ TSU និង Yogurtland... Life`s Good,positive
គ្រាន់តែដំឡើងកុំព្យូទ័រថ្មីម្តងទៀត។15 នាទីខ្ញុំស្រលាញ់ Norton Ghost។,positive
Ahhh ម៉ាក់ខ្ញុំយកក្រដាសថ្មីមកដាក់លើគ្រែរបស់ខ្ញុំយ៉ាងស្រួល,positive
_celeste ទីបំផុតគេងនៅស្ងៀម,neutral
ខ្ញុំទើបតែឡើង :-|និង 12:43 : អូខ្ញុំខ្ជិលអរគុណព្រះជាម្ចាស់វាជាថ្ងៃឈប់សម្រាកធនាគារ,neutral
ហត់នឿយណាស់។ប៉ុន្តែបន្ទប់បន្ទប់គឺសម្រាប់គេង។,negative
ខ្ញុំ​ត្រូវ​តែ​លូក​ដៃ...,negative
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral
Happy muthath`s day to all moms!!! I salute you!,positive
ហាហាហា!មិនអីទេ..,positive
តើ​អ្នក​មិន​គួរ​ជួយ​ដល់​សេដ្ឋកិច្ច​ក្នុង​ស្រុក​ទេ... LOL ... ល្អ​សម្រាប់​អ្នក និង​អបអរសាទរ,positive
ល្អណាស់ដែលបានដឹង សូមអរគុណ,positive
តើអ្នកជាអ្វី?រសជាតិនៃថ្ងៃ?,neutral
អាកាស​ធាតុ​ធ្វើ​ឱ្យ​ខ្ញុំ​នៅ​ព្រឹក​នេះ... អុញ!...hada gd nite tho!,neutral
ទើបតែបានស្តាប់ condre scr ហើយទទួលបានការអញ្ជើញឱ្យមើលការប្រគុំតន្ត្រីផ្ទាល់របស់ពួកគេនៅថ្ងៃទី 20 ខែមិថុនានៅទីក្រុង Munich http://bit.ly/DAXA0 #postrock,neutral
E.L.O.wow នាំមកនូវការចងចាំដ៏រីករាយជាច្រើនមកវិញ។ស្រឡាញ់​ក្រុម​នេះ!..ហើយ​បាទ ខ្ញុំ​ដឹង​ថា​ខ្ញុំ​មាន​អាយុ​ហើយ ប៉ុន្តែ​ខ្ញុំ​មិន​ខ្វល់​ទេ។,positive
នោះជារូបភាពគួរឲ្យស្រលាញ់ណាស់… ប៉ុន្តែអ្នកមិនធាត់ពីការលិទ្ធសាច់អាំងទេ… គាត់ច្បាស់ជាបានប្រទះឃើញស្នាមប្រេះនៅលើអ្នកផ្សេង…,positive
អូខ្ញុំចូលចិត្តពេលព្រឹកថ្ងៃអាទិត្យបែបនេះ - ម៉ាក់ទើបតែធ្វើពងមាន់អាំងនៅលើនំបុ័ង,positive
ស្អប់ការងារពេលមានពន្លឺថ្ងៃ boohoo,negative
គឺ ONLiNE http://plurk.com/p/stjdg,neutral
បាច់។ក្នុងរយៈពេល 3 ថ្ងៃ.!!!!អាកាសធាតុក្តៅខ្ញុំមកដល់ហើយ!,neutral
ឆ្ងល់​ថា​តើ​ខ្ញុំ​អាច​ធ្វើ​ឱ្យ​រឿង​អាក្រក់​ជាង​អ្វី​ដែល​មាន​រួច​ទៅ​ហើយ... ឆ្លើយ​មក.. គ្រាន់​តែ​ធ្វើ!!!,negative
ទីភ្នាក់ងារទីផ្សាររបស់ប្រទេសហូឡង់កំពុងស្នើសុំឱ្យអ្នកដាក់ពាក្យសុំធ្វើការក្នុង 140 តួអក្សរ ឬតិចជាងនេះ http://www.energize.nl/twillicitatie/,neutral
Twitter បានបំផ្លាញភាពសប្បាយរីករាយទាំងអស់។យឺតយ៉ាវ!!សូម្បីតែមិនអាចដេញថ្លៃបានត្រឹមត្រូវ!,negative
_ចុយ ហាហា។ខ្ញុំយល់ស្របទាំងស្រុង,positive
បើ​យើង​មិន​ខ្ចប់ នាង​មិន​អាច​ចេញ​បាន​ទេ?,neutral
**** ឡូយ....តើអ្នកទៅណា?,neutral
ចូលគេងបន្ទាប់ពីយប់ដ៏អស្ចារ្យជាមួយមិត្តម្នាក់ដោយរីករាយដែលដឹងថានាងមានអារម្មណ៍ដូចគ្នាចំពោះថ្នាក់រៀនដូចអ្នកដ៏ទៃ,positive
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative
វាល្អណាស់ក្នុងការចាកចេញពីការិយាល័យនៅពេលដែលព្រះអាទិត្យនៅតែរះ,positive
ខ្ញុំនឹងនឹកអ្នកម្តាយបាល់ទាត់,negative
រវាងថ្នាំខ្ទឹម សត្វពីងពាងខាំរវាងម្រាមជើងរបស់អ្នក (LOL-Classic) ហើយអ្នកតែងតែឃ្លាន។អ្នកកំពុងសម្លាប់ខ្ញុំ 2 គួរឱ្យអស់សំណើច,neutral
*ដកដង្ហើមធំ* អេ។ប្រហែលជាអ៊ីមែលទីពីររបស់ខ្ញុំនឹងជម្រះវា ហើយធ្វើឱ្យគាត់យល់ព្រម។,neutral
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral
-- ដែលចូលមកក្នុងគំនិតរបស់ខ្ញុំ។ដូច្នេះខ្ញុំបាននិយាយវា។ហើយ​ឥឡូវ​នេះ​វា​ត្រូវ​បាន​គេ​សម្រប​ជា​វាក្យសព្ទ​របស់​គ្រួសារ​ខ្ញុំ,neutral
ទន្ទឹងរង់ចាំការងាររាងកាយនៅថ្ងៃនេះ,neutral
